PCA1,PCA2,PCA3,cluster
-0.89185286,-0.5432352,0.02274778,2
-0.13460396,1.218613,1.3933426,1
-0.41545755,-0.4843958,2.2852552,2
1.0948408,-0.09552641,-0.3843356,1
0.23419331,0.32876417,-0.4517326,1
-1.6965853,-0.5222682,1.8976139,2
0.027698152,-0.3620271,-1.1687112,1
-0.22111514,-0.69913685,0.18739499,2
-1.7977259,0.06980272,0.06231561,2
-0.69216686,-0.50097156,0.020407222,2
0.32274058,0.92131096,-0.52278155,1
0.2869611,-0.37636673,-1.6747284,1
0.73697513,-0.5226864,1.4521297,1
1.2417362,0.5534173,-0.7268637,1
-0.022784479,-1.2114146,1.8658168,2
-0.6521362,2.1165721,-0.96635205,0
0.38861766,3.709291,0.36937785,0
0.9272474,-0.93296313,0.010084691,1
0.9272474,-0.93296313,0.010084691,1
-0.43884844,-0.5490333,0.12520614,2
1.3669347,-0.40020406,-0.51417774,1
0.40772673,-0.25350425,0.9520613,1
-1.4394068,-0.81486356,0.09941865,2
0.78866446,-0.37649027,0.20514585,1
-0.2825519,-0.047516033,1.8981524,2
0.8715345,-0.43654633,1.2389269,1
-0.09520328,0.38356084,-0.44417334,1
-0.8136017,-0.22896607,0.4416114,2
0.50187457,-0.14809881,-0.9519513,1
-2.1914144,-0.97673273,-0.40814623,2
-0.8305029,0.040259182,0.917485,2
0.8767393,0.73983145,0.64664507,1
0.39065814,0.29321417,0.5559239,1
0.95503694,-0.66924095,2.4460793,1
-0.059483267,-0.80688,0.70934045,1
-0.79788744,-0.020488909,-0.11273905,2
0.80427533,0.03599969,0.08828777,1
1.2391076,-0.5497847,-0.4057019,1
-0.927008,-0.8085215,0.6441217,2
1.3394177,-0.22666965,0.069166385,1
0.23453215,0.3398193,0.4154954,1
0.05005072,-0.43541873,-1.9374974,1
1.4233016,0.12207323,-0.3718542,1
-0.56741816,-0.7512278,0.2564694,2
-1.4704425,-0.727406,1.5021443,2
1.664085,-0.31148225,-0.026810747,1
1.4498159,0.20688765,-0.17510115,1
0.49511445,0.35365254,-0.35192508,1
1.4591322,-0.1894238,-0.22403173,1
0.5497652,-0.12037483,1.0300767,1
0.7990885,0.07891039,0.6322455,1
-1.7238905,-0.22123224,0.32582036,2
-0.12470493,-0.3844285,-1.007926,1
-1.3731663,-0.82739645,-0.47414115,2
1.1123312,0.7218888,0.29903084,1
-1.2421793,-1.2089273,1.2628548,2
-1.2635522,-0.58448195,1.8392744,2
0.9138691,0.16808814,0.2162763,1
-0.038835578,-0.6695107,-1.1678439,1
0.8393179,0.38077462,-0.8671437,1
-0.25960645,-0.9008624,0.24080259,2
0.4770688,-0.7309355,0.67124367,1
-0.7787693,-0.58002615,-0.20064136,2
-0.48139015,-0.7926958,1.4005325,2
-1.3830042,-0.5384733,-1.1056045,2
-0.1847038,-0.69148743,1.8420258,2
-0.5601353,-0.5913312,2.0849407,2
-0.122407235,-0.17250508,1.1224898,1
0.1650871,-0.6518996,-1.2492152,1
0.35299814,-0.62345177,0.19890274,1
1.0060622,-0.2725163,-0.5351484,1
1.2876178,-0.04574524,-0.5968594,1
-0.69794244,1.3343848,-1.6316028,0
0.6375124,-0.6839059,0.55855495,1
-1.32602,0.30028394,0.22069448,2
0.5694903,-0.66049767,1.9244889,1
1.0013666,0.5380135,0.12930532,1
0.32470557,-0.9961501,-0.0033045067,1
1.3949902,1.6476848,0.31872985,1
-0.105300196,-0.27150863,-1.000928,1
-0.15222527,0.33473662,1.7632347,1
-0.96004295,-0.80181396,-0.51747537,2
0.68689007,0.2026898,-0.19091532,1
1.0498536,0.31623754,1.4866962,1
1.025876,0.6076682,-0.07984655,1
-2.5715716,1.3844776,-0.39624733,2
-0.056749385,0.19398709,-1.8236735,1
0.012057151,-0.16039465,1.0521846,1
-1.1241343,-0.93592054,-0.11484272,2
-0.8592616,0.48244923,0.24832062,2
0.53153926,0.5558921,-0.14069235,1
1.6309983,0.07663177,-0.20463672,1
-1.855541,-0.18937652,-0.8352287,2
0.63438094,-0.5706212,0.039906,1
0.20083441,-0.5764418,0.77708787,1
-0.99365914,-0.6813446,0.7433915,2
0.9179612,0.7727716,0.27984187,1
-0.49724066,2.8828568,0.74761575,0
-1.5928266,-1.2055428,-0.29026425,2
0.51601005,-0.3642272,0.27107736,1
-1.6923409,-0.85459083,-0.119013205,2
-0.74378294,-0.806567,1.2536656,2
0.56275743,0.099910654,-0.3222264,1
-1.3713423,-0.17786507,0.7837102,2
-1.8901198,-1.0471781,1.3700268,2
-0.521131,1.3357003,1.2933577,0
0.21852957,0.35068053,0.15724608,1
-0.10156163,-0.1608617,0.6573009,1
0.0058921278,-0.55115193,1.0825955,1
1.1433667,0.50701064,-0.6314211,1
-0.6108492,-0.9437278,-0.45003402,2
1.2161121,0.7889326,0.8885003,1
0.37619156,-0.2922966,-0.30907357,1
1.1461712,-0.39710638,0.2145083,1
1.5150074,0.12027498,-0.84970015,1
-0.31863692,-0.35941607,0.20496622,1
0.2752569,0.14017549,0.76451313,1
0.264906,1.2351645,-0.717354,1
-1.1500682,-0.44551834,1.6353747,2
-1.1819723,-0.71286184,-0.12984109,2
0.9533432,2.9439058,0.58144355,0
-0.13888341,3.6064167,-0.19583388,0
1.0752194,-0.08991989,-0.8446308,1
1.3984123,-0.21896371,-0.1905793,1
1.0091013,-0.35649252,-0.15178075,1
0.8583039,-0.28853124,-0.16965573,1
-0.637644,-0.8940167,-2.041114,2
-2.1955743,-1.457875,-0.5290069,2
-0.41712624,-0.54630524,-1.3288308,2
0.038230218,-0.06696291,-0.7203251,1
0.76565593,-0.33269367,-0.14729428,1
-0.45799825,-0.43931442,-0.18815333,2
-1.2330914,-0.30906487,-0.13844785,2
-0.76671314,-0.41933438,-0.7528303,2
0.1159331,-0.9185506,0.32058048,1
1.530242,-0.50172514,-0.048918013,1
0.014941236,-0.78123766,0.36575466,1
0.49340326,-0.27350816,1.6586758,1
-0.86301136,-1.0590413,-1.1670345,2
0.017290024,0.81619877,0.4908036,1
0.4615388,0.026345551,-1.037451,1
0.021246122,-0.31440774,0.88112116,1
0.70490104,0.08190573,1.3712454,1
0.64796174,-0.5128012,0.013228186,1
0.09557538,0.41450378,-0.28393373,1
0.5354823,3.3765354,0.75121593,0
0.20582823,-0.7372235,-1.0337539,1
0.5571573,-0.18433802,-1.4770472,1
-0.048214164,-0.7366411,0.0056913905,1
-0.39785084,-0.40062648,0.19783984,2
-0.5263908,1.131809,1.0215111,1
0.48609126,-0.52055967,1.3530219,1
1.1418765,-0.61519414,-0.24035503,1
1.6834968,0.046288397,-0.49622422,1
1.028375,-0.29709297,1.5046842,1
0.82838416,-0.2839391,-0.2978398,1
0.14134292,-0.18533519,-0.6728535,1
1.452147,-0.17455664,-0.13196646,1
1.1927496,0.56818855,-0.5593337,1
1.0410883,-0.59797543,-0.50634396,1
-0.12931785,2.1269147,-0.21971376,0
1.2706674,0.68300056,0.37351304,1
-0.8388481,0.67266846,1.0682192,2
0.27093,0.120579034,-1.4471649,1
0.03249702,-0.6102939,-1.6633369,1
0.18670693,-0.32234076,-1.0625619,1
-0.6419462,-0.45204806,0.06868404,2
-0.330046,-0.4705194,-1.1202903,2
0.7609313,-0.13092487,-0.41784886,1
0.8401705,-0.58515066,0.048798583,1
0.121697605,-0.41830397,2.2855587,1
1.4117591,-0.40238807,-0.26431975,1
-0.18951428,0.17410009,-1.8933216,1
0.10162577,-0.37019375,-1.7293321,1
0.87518495,-0.3059277,-0.19101459,1
0.6658578,-0.41306227,1.7857184,1
-0.46870434,0.34898284,1.7199373,2
-2.6279743,-0.7331864,-0.81683356,2
0.21497853,-0.11305685,-1.4183933,1
1.6071373,-0.8299237,-0.25694636,1
-0.12691069,1.3529546,-0.94451183,0
0.77855605,0.57214785,-0.28440207,1
0.26629886,-0.028257564,0.018399237,1
-0.287127,-0.60353804,0.46691963,2
0.31225196,0.8290085,-0.94090104,1
1.2445897,-0.27353075,-0.58736795,1
0.5930075,3.7215278,0.6728331,0
1.027765,-0.1619191,-0.0041676257,1
-0.5299712,-0.8739524,1.113219,2
0.39872682,-0.35266924,0.7408001,1
0.13746569,2.197784,0.85642016,0
-0.8634447,-0.21590857,1.2301546,2
-2.1577072,2.9095044,0.41022247,0
0.9428575,-0.47453037,0.09527624,1
-2.050451,3.2207954,0.37653497,0
-0.28918713,-0.595868,0.1366021,2
0.36540297,3.7702622,0.32155257,0
0.2804811,-0.53564024,-1.1463137,1
-0.6796668,-0.39160526,-0.2360094,2
0.13412638,-0.77750176,0.8638961,1
1.536582,-0.3379545,-0.43844235,1
-1.6976292,-0.6680619,1.0326548,2
-1.2211249,-0.3611569,-0.2580219,2
0.35588393,-0.8992168,0.37827116,1
-1.6708609,-0.5075724,1.6416347,2
-0.9911268,0.21148746,1.2507645,2
-1.1972985,-1.2367247,-0.38219255,2
1.4096677,-0.27591798,-0.1032612,1
1.6092367,-0.42190558,-0.28672063,1
-0.8759768,-0.8482183,-0.056408763,2
-2.3907855,0.68593955,-0.25384173,2
0.7849324,0.6751312,0.9859839,1
-0.36539742,-0.8236461,0.42345244,2
1.5923531,-0.3519447,-0.71819675,1
0.4332455,-0.40426797,-0.93107957,1
-0.54579717,-0.82472086,-0.041897796,2
0.46394,-0.15062015,-0.9849302,1
-0.0832305,0.08313323,0.33092493,1
1.1015573,-0.406806,0.46838862,1
-0.5960831,-0.961879,-1.2566996,2
0.4715081,0.23426694,0.399041,1
0.733662,-0.49767798,0.68233943,1
0.89678836,-0.21902245,1.7355015,1
1.1063,-0.41862753,-0.15940359,1
-2.1378152,3.1070375,0.43263167,0
0.44361213,-0.64902556,1.5451525,1
-0.78264487,-0.5575266,-0.24687412,2
-1.8513488,1.7624727,0.23592824,0
0.92357075,0.4418448,-0.08866919,1
0.854597,0.4136572,-0.14416526,1
-1.0913736,-0.83569586,0.11750618,2
1.351111,-0.41508558,-0.009709748,1
0.19662651,-0.6089666,0.28539827,1
0.8327379,-0.42304456,0.95215696,1
1.38735,-0.12430193,-0.33517313,1
-0.9000762,1.2775027,0.46253946,0
1.5834655,0.012609723,-0.086694025,1
-1.400205,-1.1424978,-0.3823468,2
-1.4257832,-0.8367105,-0.39245552,2
-0.86286336,-0.40894648,-0.1587313,2
-1.3853145,3.5717149,-0.9129661,0
0.47188425,-0.1159253,-0.11371907,1
1.9788735,-0.3210774,-0.28457272,1
-1.5927987,4.433261,-0.6981638,0
0.43290612,0.030133596,-0.9111709,1
0.717774,-0.112408735,-0.7393979,1
1.202079,-0.044749472,-0.09277941,1
1.4850537,-0.40457398,-0.029348243,1
1.2522045,-0.53256005,-0.1309662,1
-0.43052426,-0.77270955,0.7629312,2
0.5944923,0.3171428,-0.7381485,1
-2.7098796,-0.4574403,-0.4631893,2
-1.0221716,-0.70748955,1.3669481,2
1.0302545,0.30537325,-0.45889768,1
-0.801484,-0.46350598,-0.43287423,2
-0.33919233,-0.09311634,0.41197464,2
0.8257037,-0.29665756,0.4778165,1
1.5605339,-0.3823856,-0.2663643,1
0.8186238,-0.66403526,0.12707068,1
0.5499389,-0.21912181,-0.37142238,1
-1.6923409,-0.85459083,-0.119013205,2
-0.9491646,-0.97447777,-0.67353946,2
1.452474,-0.5557656,0.07570946,1
1.4015319,-0.17201674,-0.28359938,1
-0.18168318,-0.4829004,-0.28421,1
-1.1595784,-1.2311176,0.167681,2
-1.0984046,-1.1831464,0.26260915,2
-0.6949559,1.579505,0.35800654,0
-0.24482696,0.38029784,0.94562835,1
1.2938282,-0.71880513,-0.854598,1
0.25234887,-0.039451484,0.4421906,1
0.74472666,-0.78840846,0.2612577,1
-0.6108492,-0.9437278,-0.45003402,2
-0.755177,-0.39841208,0.7565609,2
-0.644669,0.4784784,-0.22297807,2
0.57901055,-0.39485282,1.4053886,1
0.2955143,0.327967,0.35247016,1
0.09589181,0.45787492,-1.9252588,1
-0.13514926,-0.17192577,0.05540769,1
1.0263132,-0.22475809,1.0507298,1
-2.6343095,-1.0072582,-0.5770746,2
-2.1737723,-1.1315529,-0.6058891,2
-1.3107678,-0.4704549,0.079685956,2
0.90528214,-0.04671008,0.8788302,1
0.9264325,0.08670104,0.271764,1
-1.7475883,-0.99419373,0.20185657,2
1.026863,0.056176506,1.326486,1
0.4172542,1.4107828,0.77835375,0
-2.0969784,-0.96909744,-0.3034552,2
1.299595,0.21038997,-0.44625425,1
1.3907206,-0.6214725,-0.5244263,1
1.0800049,-0.20122881,0.32429004,1
0.13632955,3.619443,0.27182215,0
-0.30791423,3.426978,0.16787104,0
1.08334,-0.52172846,0.40072593,1
